idx,arm,current_mr,mr,delta_mr,current_h2,h2,instr_len,query_len,generality_score,locality_score,patterns,bad_patterns,instr_title_hits,instr_risky_titles,query_title_hits,query_risky_titles,question,current_query,query,instruction_excerpt
55,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,1.0,1.0,0.5,1.0,1562,53,6,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; multi_query_drift,boolean_heavy; multi_query,Amsterdamned,,Amsterdamned,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,Amsterdam Dutch culture; Amsterdamned (1988) Dutch horror film Dick Maas Dutch cinema,Amsterdamned Dutch film Amsterdam capital Netherlands,"Given the fields `question` and `summary_1`, produce the field `query` for the second hop as a single compact BM25 query that verifies a shared national/cultural label between the two named entities. Rules: - Preserve exact entity anchors as retrieval seeds: the film title anchor (e.g., Amsterdamned) and the city anchor (Amsterdam). Do not broaden these anchors. - Inject concise relation/type/country cues adjacent to each entity to elicit lede/infobox-style hits: attach a short film-type nationality cue to the film anchor (prefer ""Dutch film"") and attach a short role/country cue to the city anchor (use ""capital"" and/or ""Netherlands""). - Query ordering and shape: start with the film title anchor, then 1–3 tight disambiguators (prefer the phrase ""Dutch film""); then include the city anchor with ""capital"" and ""Netherlands"" tokens. Form one plain space-separated token sequence (entity+property adjacency favored for BM25 proximity). - Keep the query short and noun-focused (prefer <12 ..."
55,prompt_update_Rq_full_context_aggregate_steps_4,0.0,1.0,1.0,0.5,1.0,2497,64,4,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; multi_query_drift; leakage_language,boolean_heavy; multi_query; leakage_language,,,Amsterdamned,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,Amsterdam Dutch culture; Amsterdamned (1988) Dutch horror film Dick Maas Dutch cinema,Amsterdam capital Netherlands Dutch Amsterdamned Dutch film 1988,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Preserve create_query_hop2’s role: return exactly one compact second‑hop BM25 query (a single plain text line of space‑separated tokens) that retrieves additional authoritative documents not captured in the first hop. Do not return multiple queries, examples, final answers, or retrieval scripts. Rules (apply in order): - Preserve source anchors: keep the core entity tokens found in the question and summary (e.g., film titles, person names, place names, aliases). Do not generalize these anchors into vague phrases. - Identify and add missing disambiguators from the summary as short literal tokens/phrases: use year tokens, nationality/country adjectives or names (e.g., Dutch, Netherlands), type/relation cues (e.g., film, horror, director, capital, city), and concise setting cues (e.g., canals, set in Amsterdam). Prefer 1–3 disambiguators per entity and ..."
60,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,0.0,0.0,0.0,0.0,1352,13,5,2,restore_relation_or_type; drop_noisy_entity; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,web_syntax; boolean_heavy; multi_query,,,,,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,Hubble Space Telescope STS-31 Space Shuttle Discovery launch date launch year,STS-31 launch,"Given the fields `question` and `summary_1`, produce exactly one compact BM25-style keyword query optimized for the second hop to retrieve a concise launch-date statement. Rules: - Goal: surface an authoritative mission- or overview-level page that explicitly states the telescope's launch year/date. - Primary path (when a mission identifier appears in context): emit a 1–3 token query that foregrounds the mission identifier followed by a single date/relation cue. Structure: [MISSION_ID] + [launch|launch date|launch year] (optionally include the four-digit year as a third token). Do not include telescope/instrument names or other side entities. - Fallback path (when no mission identifier is available): emit a 2–4 token query that uses the canonical telescope name or common alias (e.g., Hubble, HST, or the provided telescope name) + a single date/relation cue (launch|launch date|launch year). Optionally append one short overview cue (overview or infobox) to bias summary pages. - ..."
60,prompt_update_Rq_full_context_aggregate_steps_4,0.0,0.0,0.0,0.0,0.0,2005,18,3,2,preserve_anchor; restore_relation_or_type; drop_noisy_entity; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,,,,,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,Hubble Space Telescope STS-31 Space Shuttle Discovery launch date launch year,STS-31 launch year,"Given fields `question` and `summary_1`, produce exactly one compact BM25-style keyword query (2–6 tokens) optimized for the second hop to retrieve a telescope's launch year/date. Trigger: when the question asks for the launch year/date of a named telescope or the summary references the telescope's launch. Selection logic: - If a specific mission identifier (exact mission code, e.g., ""STS-31"") or a clear launch vehicle token appears in the context, prefer a mission-focused query with the mission id first, then a single date/relation cue: [MISSION_ID] + [launch|launch date|launch year] (e.g., STS-31 launch date). - Otherwise, emit an entity-centric query: [canonical telescope name or common alias] + [launch|launch date|launch year]. Optionally append one short type cue ('history' or 'overview') or the four-digit year token if it is already known and will tighten results. Preserve: the exact canonical telescope name or exact mission identifier/alias as present in inputs. Preserve a ..."
77,prompt_update_Rq_delta_p_only_aggregate_steps_4,1.0,1.0,0.0,1.0,1.0,1739,38,5,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,web_syntax; boolean_heavy; multi_query,Carlo's Bake Shop,,Carlo's Bake Shop,,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?",Next Great Baker season 1 winner Carlo's Bake Shop,Buddy Valastro Carlo's Bake Shop owner,"Given the fields question and summary_1, produce the field query optimized for the second hop. Emit exactly one compact BM25-style query (single plain-text line, 2–7 space-separated tokens) that shifts retrieval from show/season/prize pages to authoritative place or person pages that explicitly state who owns the named bakery. Rules: - Preserve the exact place-name anchor or its primary alias from inputs (e.g., Carlo's Bake Shop or Buddy's bakery). - Restore an explicit ownership relation cue adjacent to that anchor (use owner, owns, proprietor, runs). The query must target a PERSON as the expected answer type. - If a likely proprietor/person-name is visible in the inputs (e.g., Buddy Valastro), prefer person-first ordering: person-name + bakery-anchor + ownership cue (or person-name + owner + bakery-anchor). If no clear person-name is present, use bakery-anchor + owner (e.g., Carlo's Bake Shop owner). - Keep only tokens that help identify the bakery or the proprietor role; drop ..."
77,prompt_update_Rq_full_context_aggregate_steps_4,1.0,1.0,0.0,1.0,1.0,2205,38,5,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; wrong_candidate_relaxation; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; leakage_language,Carlo's Bake Shop,,Carlo's Bake Shop,,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?",Next Great Baker season 1 winner Carlo's Bake Shop,Buddy Valastro owner Carlo's Bake Shop,"Given fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Your goal is a single compact BM25 query that retrieves authoritative season- or entity-level documents needed to resolve who owns a named prize location (expected answer type: a PERSON). Rules: TRIGGER: Apply when the question asks who owns or is proprietor of a place referenced as an apprenticeship/prize location (phrases like “owned by who”, “apprenticeship at the bakery owned by”, etc.). PRESERVE: Keep the exact named-place anchor or its common alias from inputs (e.g., Carlo's Bake Shop, Buddy's bakery). Preserve visible person anchors from the question/summary when present (e.g., Buddy Valastro) and the expectation that the answer is a PERSON. TWO-STAGE RESTORE: First-stage (if season/prize confirmation is needed) — include show title + explicit season marker + the place name + a prize relation token (apprenticeship/prize/grand prize) to surface season pages, press releases, or ..."
6,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,0.0,0.0,0.0,0.0,2173,37,4,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; entity_level_over_location_event; bm25_interface_guard; single_query_guard; multi_query_drift; query_string_like_delta; leakage_language,boolean_heavy; multi_query; leakage_language,,,Shenandoah River,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,Shenandoah River North Fork flows through which states Virginia West Virginia Harpers Ferry,Shenandoah River Harpers Ferry states,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi-hop retrieval system. Your output must be exactly one compact BM25-style keyword query (single line, plain space-separated tokens, no punctuation, no boolean operators, no quotes, no multiple queries) that will retrieve authoritative river-level pages (lead/infobox/course) listing the U.S. states the river traverses. Rule set for composing the hop2 query: - Trigger: Apply these edits when the question names a small tributary or a fork (e.g., ""Smith Creek"" or ""North Fork ..."") and the goal is to find which U.S. states the parent/main river passes through. - Anchor preservation: Use the main river name as the primary anchor token exactly as available in the inputs (treat fork/tributary names only as aliases, not the primary token). - Bridge restoration: Include one concise downstream/confluence landmark token (for example Harpers Ferry or Potomac) to connect the river anchor ..."
6,prompt_update_Rq_full_context_aggregate_steps_4,0.0,0.0,0.0,0.0,0.0,1552,37,6,3,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,boolean_heavy; multi_query,,,Shenandoah River,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,Shenandoah River North Fork flows through which states Virginia West Virginia Harpers Ferry,Shenandoah River Harpers Ferry states,"Given fields question and summary_1, produce the single field query optimized for the second hop. Trigger: apply when the question asks which U.S. state(s) a river passes through and the context names a small tributary or a fork. Rules: (1) Preserve the source anchor exactly as given, but use the main river name as the primary retrieval anchor (prefer the river name over a tributary/fork token); if the main river name is not explicit, preserve the fork-level phrase as the anchor. (2) Restore a concise downstream/confluence bridge token drawn from the context (for example: Harpers Ferry, Potomac, confluence, lower course) to connect the anchor to the river’s lower reach. (3) Add a single attribute cue to bias for lead/infobox/course summaries (prefer the token states; alternatively course or infobox). (4) Optionally include candidate state names only when those state tokens appear in the question or summary_1 and their inclusion is needed to boost recall; otherwise omit explicit ..."
90,prompt_update_Rq_delta_p_only_aggregate_steps_4,1.0,0.0,-1.0,0.5,0.5,2239,53,3,3,preserve_anchor; restore_relation_or_type; drop_noisy_entity; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Lumbini,,Imiliya; Lumbini,,Imiliya is a town located in what pilgrimage site?,Imiliya Kapilvastu Lumbini Nepal Maya Devi Temple sacred garden monastic zone UNESCO coordinates proximity,Imiliya Kapilvastu Lumbini Mayadevi temple birthplace,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Return exactly one compact BM25 query string (single line, whitespace‑separated tokens only) that will surface authoritative pages which (A) identify the pilgrimage site and its key landmark/authority statements and (B) connect that pilgrimage identity to the sampled place’s locality. Rules: - When the question links a named settlement to a pilgrimage site, compose one short bag‑of‑words BM25 query that conjunctively combines: the sampled place name token, its administrative district token, the pilgrimage site name token, one principal pilgrimage landmark token, and one site‑type or authority cue. Example token types: PLACE_NAME DISTRICT LUMBINI Mayadevi Rummindei Ashoka pillar pilgrimage birthplace UNESCO Lumbini Development Trust Siddhartha Gautama. - Always preserve the exact sampled place name and its administrative district as anchor tokens. - ..."
90,prompt_update_Rq_full_context_aggregate_steps_4,1.0,1.0,0.0,0.5,1.0,2043,53,3,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Imiliya; Lumbini,,Imiliya; Lumbini,,Imiliya is a town located in what pilgrimage site?,Imiliya Kapilvastu Lumbini Nepal Maya Devi Temple sacred garden monastic zone UNESCO coordinates proximity,Imiliya Kapilvastu Lumbini Mayadevi Temple pilgrimage,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. This composer is used when the question asks which pilgrimage site contains a named settlement (town → pilgrimage containment). Output exactly one single-line BM25 query string and nothing else. Rules: - Purpose: retrieve authoritative, locality- and heritage-focused passages that tie the sampled place to a pilgrimage site (site identity and locality/proximity), without asserting interior containment inside a sacred enclosure. - Preserve anchors: include the settlement name token exactly as in the inputs and its administrative district token (e.g., ""Imiliya"" and ""Kapilvastu""). These are required. - Restore high-signal pilgrimage cues: include the pilgrimage-site name (e.g., ""Lumbini"") plus one principal landmark or authority token (choose one: ""Mayadevi Temple"", ""Rummindei"", ""Ashoka pillar"", or ""UNESCO"") and one site-type relation cue such as ""pilgrimage"" or ""birthplace"". Prefer one ..."
