idx,arm,current_mr,mr,delta_mr,instr_len,query,query_title_hits,instr_title_hits,risky_instr_title_hits,suspicious,question,instruction_excerpt
6,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,1647,Shenandoah River infobox states Harpers Ferry Potomac Virginia West Virginia,Shenandoah River,Shenandoah River,,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,"Given the fields question and summary_1, produce the field query optimized for the second hop. Generate one compact, entity-first BM25-style keyword query (single-line, minimal stopwords, no natural-language question phrasing) that retrieves an authoritative river-level article or fork-level lead/infobox that explicitly lists the U.S. states the river passes through. Instructions: - Use the summary to detect the missing link: connect Smith Creek → North Fork of the Shenandoah → Shenandoah ..."
6,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,4158,North Fork Shenandoah Harpers Ferry states,,Shenandoah River,,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Generate one compact, keyword-style BM25 query (no question words, no sentence punctuation) that retrieves the main river-level article or infobox/course section needed to answer the question. Apply the following ordered local edit program (execute steps in order; later steps overwrite earlier choices when triggered): 1) If the current hop-2 query mixes a ..."
55,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,3059,Amsterdam capital Netherlands Amsterdamned 1988 Dutch film,Amsterdamned,Amsterdamned,,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Your goal is one compact BM25-style query (single bag-of-words / short ordered token set) that retrieves authoritative metadata/lede/infobox lines to confirm whether two entities share the same national/cultural label. Follow these ordered rules (apply in sequence): 1) Primary film-metadata step (use when you need to verify the film’s nationality as an ..."
55,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,1.0,1.0,1378,Amsterdam capital Netherlands Amsterdamned Dutch film,Amsterdamned,Amsterdamned; Capital of the Netherlands,,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,"Given the fields question and summary_1, produce the field query optimized for the second hop of a multi-hop retrieval system. Generate one compact BM25-style query that retrieves short lede/infobox lines confirming the shared culture/national label between the two named entities in the summary. Preserve sample-specific anchors and the ordered local edit program: place the Amsterdam anchor first with an adjacent role/country token, then the Amsterdamned anchor with an adjacent ..."
77,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,1.0,0.0,4418,"Buddy Valastro owner ""Carlo's Bake Shop",Carlo's Bake Shop,Carlo's Bake Shop,,wikipedia,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?","Given the fields question and summary_1, produce a single compact BM25-style query optimized for the second hop of a multi-hop retrieval system. Your goal is to retrieve additional authoritative documents that the first hop missed; preserve sample-specific anchors from the summary and follow the ordered local edit program below (order matters). Behavior (apply edits in order): 1) Target season-level prize wording when season/prize evidence is missing: - Trigger: If the summary or first-hop ..."
77,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,1948,Next Great Baker season 1 apprenticeship Buddy Valastro Carlo's Bake Shop owner Wikipedia,Carlo's Bake Shop,Carlo's Bake Shop,,wikipedia,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?","Given the fields question and summary_1, produce a single compact BM25-style second-hop query (one short token sequence) that will retrieve a concise ownership statement naming who owns Carlo's Bake Shop. Apply the ordered local edits below when constructing the query: 1) Anchor to the show/prize context first to preserve the sample-level intent: include the show title and season marker and the prize context in your reasoning (Next Great Baker → season 1 → apprenticeship → Carlo's Bake Shop) ..."
60,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,3891,Hubble Space Telescope launch year Wikipedia,Hubble Space Telescope,Hubble Space Telescope,,wikipedia,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style second-hop query (the `query` field) that retrieves the specific launch-year/date fact needed. Follow this ordered edit program exactly (apply steps in sequence; later steps override earlier ones when their triggers match): 1) Default — entity-first, authority-hinted (apply when the user asks for a telescope/spacecraft launch date or launch year): - Construct an entity-centric query that places the telescope ..."
60,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,1806,STS-31 launch date,,HD 92945; Hubble Space Telescope,,,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,"Given the fields question and summary_1, produce one compact second‑hop BM25 query (the value for `query`) that retrieves a concise launch-year/date statement for the telescope that observed HD 92945’s debris disk. Follow the ordered edit program below when constructing the single-line query (apply steps in order): 1) Preserve these concrete anchors when present: Hubble Space Telescope, STS-31, Space Shuttle Discovery. 2) Primary preference (front‑load mission): if the summary includes a ..."
82,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,4506,"Clay County Savings Association Building robbers Liberty Missouri 1866 former Confederate guerrillas bushwhackers
guerrilla definition Civil War Missouri",Clay County Savings Association Building; Bushwhacker,Clay County Savings Association Building; Bushwhacker,,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","Given fields question, summary_1, and the current_query, produce a second‑hop BM25 query (or, when the summary requests confirmation of the exact one‑word label used for the perpetrators, emit two compact BM25 queries in strict sequence) optimized to retrieve short, authoritative lead/definition lines needed to close gaps from the first hop. Primary role (default): generate one compact, title‑anchored second‑hop BM25 query that refines the original retrieval to fetch additional relevant ..."
82,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,1212,"Clay County Savings robbery"" Liberty Missouri 1866 robbers ""former Confederate guerrillas"" bushwhackers partisans lead",Bushwhacker,Clay County Savings Association Building; Bushwhacker,,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","Given the fields question and summary_1, produce a single compact second‑hop BM25 query (roughly 6–12 tokens) that prioritizes the robbery article lead and short definition/usage lines rather than long biographies. Follow this ordered shape: 1) event anchor first — ""Clay County Savings Association Building robbery"" (or ""Clay County Savings Association robbery""); 2) place/state/date as short tokens (Liberty Missouri 1866) to prefer the local article; 3) an explicit label cue such as robbers ..."
